_id,Condition,Price,Location,Model_Year,Mileage,Exterior_Color,Make,Warranty,Model,Sub_Model,Type,Feedback_Perc,N_Reviews,Seller_Status
,Used,"$4,150 ","Brookfield, Connecticut, United States",2005,"28,000",YELLOW,BMW,,R-Series,,"Sport Touring",>99,1135,Dealer
,Used,"$9,900 ","Vero Beach, Florida, United States",1982,"12,282","Velocity Red Mica",Honda,"Vehicle does NOT have an existing warranty",CB,,Naked,100,168,Owner
,Used,"$14,000 ","Oceanside, California, United States",2012,"7,923",Black,Honda,"Vehicle does NOT have an existing warranty","Gold Wing",,Touring,100,594,
,Used,"$4,900 ","Largo, Florida, United States",2016,"4,500",Blue,Yamaha,"Vehicle has an existing warranty",WR250R,,Dual-Purpose,100,12,"Private Seller"
,Used,"$8,500 ","Macomb, Michigan, United States",2005,136,"Black &amp; Purple","Custom Built Motorcycles","Vehicle does NOT have an existing warranty",Other,,,100,215,"Private Seller"
,Used,"$4,225 ","Oakville, Ontario, Canada",1974,"7,261",Orange,Kawasaki,"Vehicle does NOT have an existing warranty",Z1A,Z1A,Standard,100,22,"Private Seller"
,Used,"$11,500 ","Whitefish, Montana, United States",1991,"4,342",Black,Harley-Davidson,,Dyna,Sturgis,"Limited Edition",100,193,Owner
,Used,"$4,350 ","Lowell, North Carolina, United States",2016,"2,150",Black,Honda,"Vehicle does NOT have an existing warranty",CBR,,"Sport Bike",100,2154,
,Used,"$2,500 ","Memphis, Tennessee, United States",1998,"13,000",,Honda,,Other,,,100,606,
,Used,"$2,225 ","Waterbury, Connecticut, United States",2008,648,LIME,Kawasaki,Unspecified,Ninja,650R,,100,5,"Private Seller"
,New,"$33,900 ","Altoona, Alabama, United States",2017,1,RED,Honda,"Vehicle has an existing warranty","Gold Wing",,Trike,100,430,Dealer
,Used,"$9,000 ","Old Saybrook, Connecticut, United States",1980,"7,802",,"Other Makes",,,,,100,1166,
,Used,"$16,500 ","Lewisburg, Tennessee, United States",2007,"17,994",Red,Honda,,"Gold Wing",GL1800,Touring,100,82,Dealer
,Used,"$6,500 ","Chillicothe, Ohio, United States",2001,"1,980",Blue,Harley-Davidson,"Vehicle does NOT have an existing warranty",AMS,,Chopper,9.7,1546,"Private Seller"
,Used,"$1,800 ","Hockessin, Delaware, United States",2005,"1,950",Blue,Kawasaki,"Vehicle does NOT have an existing warranty",Ninja,,"Sport Bike",100,885,"Private Seller"
,Used,"$4,250 ","Whitestone, New York, United States",1997,"29,686",Red,Harley-Davidson,"Vehicle does NOT have an existing warranty",Dyna,,,100,302,"Private Seller"
,Used,"$9,995 ","Springfield, Missouri, United States",2008,"16,100",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",V-ROD,"NIGHT ROD SPECIAL",Cruiser,100,310,"Private Seller"
,Used,"$3,999 ","Woodridge, Illinois, United States",2012,"24,000",Black,Suzuki,"Vehicle does NOT have an existing warranty",V-strom,,Dual-Purpose,100,333,"Private Seller"
,Used,"$7,600 ","Greenwood Lake, New York, United States",2006,"1,825","Black with Red",Harley-Davidson,,Softail,,"Standard FXSTI",100,157,Owner
,New,"$1,395 ","Edmond, Oklahoma, United States",2017,1,Red,"Other Makes","Vehicle has an existing warranty",HAWK,,Dual-Purpose,100,734,Dealer
,Used,"$22,999 ","Schertz, Texas, United States",2017,300,Red,"Other Makes",,SLINGSHOT,SL,,8.1,620,Dealer
,New,"$13,499 ","Port Washington, Wisconsin, United States",2016,0,Black,Yamaha,"Vehicle has an existing warranty",XT,XTZ12EGCB,Dual-Purpose,9.8,2855,Dealer
,Used,"$3,500 ","Capac, Michigan, United States",1996,"8,000",Blue,Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,,"Sport Bike",100,35,"Private Seller"
,Used,"$7,500 ","Adamstown, Maryland, United States",2012,"28,500",Blue,Honda,EXTENDED,Other,,,100,246,OWNER
,Used,"$26,988 ","Austin, TX, United States",2014,"25,134","two-tone Jupiter Blue &amp; Wicked Sapphire w/ Dragontail Graphics",Harley-Davidson,,Touring,,,100,106,
,Used,"$7,000 ","Savannah, Georgia, United States",2006,"8,200",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Dyna,,Standard,100,844,"Private Seller"
,Used,"$2,500 ","Bradenton, Florida, United States",2014,1,,"Other Makes",,,,,9.3,421,
,Used,"$22,999 ","Chandler, Arizona, United States",2015,"2,300",Tan,BMW,"Vehicle has an existing warranty",K-Series,"K 1600 GTL EXCLUSIVE","Sport Touring",100,305,"Private Seller"
,Used,"$8,000 ","Hollywood, Florida, United States",2005,"17,500",Gray,Harley-Davidson,"Vehicle does NOT have an existing warranty",Dyna,"SUPER GLIDE CUSTOM","Sport Touring",>99,689,"Private Seller"
,New,"$38,985 ","Russellville, Arkansas, United States",2017,2,"Pearl White",Honda,"Vehicle has an existing warranty","Gold Wing","GL1800 &#034;HR Signature Series&#034;",Touring,9.8,21591,Dealer
,Used,"$7,300 ","Marysville, Washington, United States",2008,"3,841",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",V-ROD,"Nightrod special",Cruiser,100,3,"Private Seller"
,Used,"$4,050 ","New Hampton, Iowa, United States",1950,2,Black,"Other Makes","Vehicle does NOT have an existing warranty","AJS 500 18 Single",Matchless,Standard,100,570,
,Used,"$21,000 ","Leland, North Carolina, United States",2016,992,Black,Harley-Davidson,"Vehicle has an existing warranty","FLHXS - Street Glide Special",,Touring,100,846,"Private Seller"
,Used,"$16,000 ","Midland, Georgia, United States",2016,995,Black,Harley-Davidson,"Vehicle has an existing warranty",V-ROD,Muscle,Cruiser,100,17,"Private Seller"
,Used,"$3,000 ","Olney, Maryland, United States",1994,"60,000",Black,BMW,"Vehicle does NOT have an existing warranty",R-Series,"RS ABS","Sport Touring",100,86,"Private Seller"
,Used,"$1,450 ","Cleveland, Ohio, United States",1982,"21,910",Burgundy,Honda,"Vehicle does NOT have an existing warranty",CB,"Front dress / full sheild","Sport Touring",100,1149,Owner
,Used,"$17,355 ","Arlington, Texas, United States",2013,"6,308",Blue,Harley-Davidson,,"Street Glide",,,100,634,
,Used,"$5,000 ","Altoona, Pennsylvania, United States",2005,"12,500",Silver,Kawasaki,"Vehicle does NOT have an existing warranty",Z1000,,"Sport Touring",100,16,"Private Seller"
,Used,"$14,993 ","Mansfield, Texas, United States",2012,"23,162",Blue,Harley-Davidson,,"Street Glide",,,100,661,
,Used,"$1,225 ","Scott City, Missouri, United States",2009,"31,731",Silver,Harley-Davidson,"Vehicle has an existing warranty","Electra Glide Classic",,Gasoline,100,4,Dealer
,Used,"$6,000 ","Nashville, Indiana, United States",2004,"8,450",White,Harley-Davidson,"Vehicle does NOT have an existing warranty",Touring,,Touring,,0,
,Used,"$5,500 ","Arlington, Texas, United States",2006,"13,155",Red,Harley-Davidson,,"Sportster 883",,,100,634,
,Used,"$19,900 ","Altoona, Alabama, United States",2005,"39,035",GRAY,Honda,"Vehicle has an existing warranty","Gold Wing",,Trike,100,430,Dealer
,Used,"$3,900 ","Las Vegas, Nevada, United States",1989,"33,000",,Harley-Davidson,,FXR,,,100,15,
,Used,"$6,200 ","Richmond, Virginia, United States",1997,"1,406",,Harley-Davidson,,"Shovelhead Custom Build",,,,2,Owner
,Used,$975,"Frankfort, Illinois, United States",1982,"12,285","Black w/ Gold Flakes",Yamaha,,Virago,,,7.1,33,"Private Seller"
,New,"$4,005 ","Williamsport, Pennsylvania, United States",2008,444,White,Honda,"Vehicle does NOT have an existing warranty",CBR,"600 RR","Sport Bike",8.9,321,Dealer
,Used,"$1,625 ","Draper, Utah, United States",1982,"32,000","Two Tone Grey",Honda,"Vehicle does NOT have an existing warranty","Gold Wing","Apencade GL1100A Full Dresser",Touring,100,32,"Private Seller"
,Used,"$3,288 ","Discovery Bay, California, United States",1996,"55,400",Blue,BMW,"Vehicle does NOT have an existing warranty",R-Series,,"Sport Touring",100,38,"Private Seller"
,Used,"$4,699 ","King George, Virginia, United States",2009,"8,650",,Kawasaki,,Concours,"ZG 1400",,100,201,"Private Seller"
,Used,"$2,025 ","Colorado Springs, Colorado, United States",2008,"18,743",White,Kawasaki,"Vehicle does NOT have an existing warranty",Ninja,,"Sport Bike",100,1,"Private Seller"
,Used,"$30,000 ","Miami, Florida, United States",1982,"5,687",Orange,"Other Makes","Vehicle does NOT have an existing warranty",Jota,,,100,37,"Private Seller"
,Used,"$2,125 ","Villa Rica, Georgia, United States",2002,"57,498",,Honda,,"Gold Wing",,,100,63,
,New,"$6,290 ","Manitowoc, Wisconsin, United States",2015,2,Yellow,Yamaha,"1 Year",FZ,,"Sport Bike",8.9,3148,Dealer
,Used,"$6,100 ","Independence, Oregon, United States",2001,"7,499","WHITE AND BLUE","Other Makes",,"RACING EDITION","SUPER TWIN","SUPER BIKE",100,854,
,Used,"$3,000 ","Willingboro, New Jersey, United States",2015,"3,020",Black,Suzuki,"Vehicle has an existing warranty",Other,"Great Suzuki GW250F",,100,19,"Private Seller"
,Used,"$17,900 ","Orient, Ohio, United States",2016,"19,536","Velocity Red",Harley-Davidson,"Vehicle has an existing warranty",Touring,"FLTRXS Road Glide Special","Touring Road Glide Special FLTRXS",100,90,Dealer
,Used,"$4,900 ","Clarkston, Michigan, United States",2005,"86,600","Ocean Blue",BMW,"Vehicle does NOT have an existing warranty",K-Series,K1200LT,Touring,,2,"Private Seller"
,Used,"$6,000 ","Eads, Tennessee, United States",2008,"9,600",Silver,Harley-Davidson,,Dyna,,,100,519,"Private Seller"
,Used,$517,"Jacksonville, Arkansas, United States",1973,"1,100",Red,Kawasaki,"Vehicle does NOT have an existing warranty",enduro,,Off-Road,,1,"Private Seller"
,Used,"$10,199 ","Brookfield, Connecticut, United States",1969,"26,336",BLACK,BMW,,R-Series,,,>99,1135,Dealer
,Used,"$10,995 ","Zieglerville, Pennsylvania, United States",1984,"37,244",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",FXR,"FXRT Sport Glide",Cruiser,100,297819,Dealer
,Used,"$1,970 ","Cincinnati, Ohio, United States",1970,"15,783",Gold,Honda,,CB,,"Caf\xE9 Racer",,14,owner
,Used,$810,"Suncook, New Hampshire, United States",2013,"1,045",Black,Honda,,CB,,Standard,100,1978,Dealer
,New,"$14,587 ","South Haven, Michigan, United States",2017,1,"Candy Cardinal Red",Kawasaki,"Vehicle has an existing warranty",Vulcan,"Vulcan 1700 Vaquero ABS",Touring,100,876,Dealer
,Used,"$2,225 ","Athens, Alabama, United States",2005,"16,978",Blue,Suzuki,"Vehicle does NOT have an existing warranty",Other,"V Strom",Dual-Purpose,100,288,"Private Seller"
,Used,"$7,700 ","Scottsville, Virginia, United States",2003,"29,000",,Harley-Davidson,,Dyna,,,100,421,
,Used,"$8,000 ","Hollywood, Florida, United States",2003,"29,000",Blue,Harley-Davidson,"Vehicle does NOT have an existing warranty",Dyna,"SUPER GLIDE","Sport Touring",>99,689,"Private Seller"
,Used,"$5,500 ","Old Orchard Beach, Maine, United States",2003,"75,000",Silver,Harley-Davidson,"Vehicle does NOT have an existing warranty",Dyna,,"Sport Touring",100,54,"Private Seller"
,Used,"$5,500 ","Colton, New York, United States",2003,"8,600",White,Harley-Davidson,"Vehicle does NOT have an existing warranty",Dyna,"Low rider",Cruiser,100,44,"Private Seller"
,Used,"$2,500 ","Sturgis, South Dakota, United States",1981,"15,723",,Honda,,CB,,,100,220,
,New,"$6,595 ","North Tonawanda, New York, United States",2016,0,,Ducati,"Vehicle has an existing warranty",Other,,,9.2,2289,Dealer
,New,"$8,225 ","Johnson Creek, Wisconsin, United States",2014,1,Red,Yamaha,"Vehicle has an existing warranty","V Star",,Cruiser,9.2,5605,Dealer
,Used,"$8,500 ","Naples, Florida, United States",2005,"10,200",Orange,Harley-Davidson,"Vehicle does NOT have an existing warranty",V-ROD,"Screaming Eagle",,100,220,"Private Seller"
,Used,"$16,900 ","Rome, Georgia, United States",2005,"77,366",White,Honda,,"Gold Wing",,Touring,100,404,
,Used,"$12,000 ","Belleville, Illinois, United States",2013,"4,000",Black,Harley-Davidson,,Dyna,Switchback,,100,5,"Private Seller"
,New,"$9,794 ","Greenville, Texas, United States",2015,0,Black,Honda,"Vehicle has an existing warranty",Interstate,VT13CTF,Cruiser,100,49,Dealer
,Used,"$8,500 ","Macomb, Michigan, United States",2005,136,"Black &amp; Purple","Custom Built Motorcycles","Vehicle does NOT have an existing warranty",Other,,,100,215,"Private Seller"
,Used,"$2,799 ","West Palm Beach, Florida, United States",2008,"45,580",Black,Kawasaki,"Vehicle does NOT have an existing warranty",Ninja,ZX6R,"Sport Bike",9.9,3932,"Private Seller"
,Used,"$4,200 ","Cocoa, Florida, United States",1999,"38,000",Blue,Harley-Davidson,"Vehicle does NOT have an existing warranty",Dyna,"Super Glide",Cruiser,100,25,"Private Seller"
,Used,"$6,900 ","Brook Park, Ohio, United States",1998,"10,037","Crimson &amp; Cream",Harley-Davidson,"Vehicle does NOT have an existing warranty",Dyna,"DYNA WIDE GLIDE FXDWG",Cruiser,100,371,"Private Seller"
,Used,"$11,000 ","New York, New York, United States",2014,"16,381",Gray,BMW,"Vehicle has an existing warranty",K-Series,"K1600 GTL",Touring,100,116,Dealer
,Used,"$33,000 ","Gilbert, Arizona, United States",2015,26,,Honda,,"Gold Wing",,,100,13,
,Used,"$4,150 ","McHenry, Illinois, United States",2009,"4,272",White,Honda,"Vehicle does NOT have an existing warranty",CBR,,"Sport Bike",100,117,Dealer
,Used,"$6,500 ","Chillicothe, Ohio, United States",2001,"1,980",Blue,Harley-Davidson,"Vehicle does NOT have an existing warranty",AMS,,Chopper,9.7,1546,"Private Seller"
,Used,"$18,900 ","Altoona, Alabama, United States",2002,"19,479",TITANIUM,Honda,"Vehicle has an existing warranty","Gold Wing",,Trike,100,430,Dealer
,Used,"$2,700 ","Clarion, Pennsylvania, United States",2010,"2,484",Green,Kawasaki,,"Ninja 250R",,,100,51,"Private Seller"
,Used,$815,"Punta Gorda, Florida, United States",1983,"36,312",Maroon,Honda,"Vehicle does NOT have an existing warranty","Gold Wing",,Cruiser,100,22,Dealer
,Used,"$9,995 ","Springfield, Missouri, United States",2008,"16,100",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",V-ROD,"NIGHT ROD SPECIAL",Cruiser,100,310,"Private Seller"
,Used,"$3,050 ","McHenry, Illinois, United States",2013,"3,030",Yellow,Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,,Cruiser,100,117,Dealer
,Used,"$3,999 ","Woodridge, Illinois, United States",2012,"24,000",Black,Suzuki,"Vehicle does NOT have an existing warranty",V-strom,,Dual-Purpose,100,333,"Private Seller"
,Used,"$1,850 ","Annville, Kentucky, United States",1983,"61,443",Brown,Honda,"Vehicle does NOT have an existing warranty","Gold Wing",Aspencade,Aspencade,100,87,"Private Seller"
,Used,"$3,500 ","Las Vegas, Nevada, United States",2010,"2,500",,"Other Makes",,,,,100,780,
,Used,"$4,999 ","Piedmont, Oklahoma, United States",1983,"23,000",Black,Honda,"Vehicle does NOT have an existing warranty","Gold Wing","CALIFORNIA SIDE CAR",Naked,100,247,
,Used,"$31,888 ","Tulsa, Oklahoma, United States",2016,"4,050",White,Harley-Davidson,,Touring,,Touring,100,179,Dealer
,Used,"$2,350 ","LaGrange, Georgia, United States",2006,"10,865",Blue,Kawasaki,,Ninja,,,100,13,
,Used,"$4,300 ","Brookfield, Connecticut, United States",2008,"19,925",BLUE,BMW,,R-Series,,"Sport Touring",>99,1135,Dealer
,Used,"$7,300 ","Marysville, Washington, United States",2008,"3,841",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",V-ROD,"Nightrod special",Cruiser,100,3,"Private Seller"
,Used,"$21,000 ","Leland, North Carolina, United States",2016,992,Black,Harley-Davidson,"Vehicle has an existing warranty","FLHXS - Street Glide Special",,Touring,100,846,"Private Seller"
,Used,"$16,000 ","Midland, Georgia, United States",2016,995,Black,Harley-Davidson,"Vehicle has an existing warranty",V-ROD,Muscle,Cruiser,100,17,"Private Seller"
,Used,"$5,000 ","Cincinnati, Ohio, United States",1999,"28,000",Purple,Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,"1200 SPORT","Sport Touring",,165,"Private Seller"
,New,"$11,499 ","Searcy, AR, United States",2017,1,Black,Yamaha,"Vehicle has an existing warranty",YZF-R,R6,"Sport Bike",100,35,Dealer
,Used,"$17,355 ","Arlington, Texas, United States",2013,"6,308",Blue,Harley-Davidson,,"Street Glide",,,100,634,
,New,"$10,999 ","Petersburg, West Virginia, United States",2016,0,"Golden Blazed Green / Metallic Spark Black",Kawasaki,,Ninja,,Standard,9.7,21748,Dealer
,Used,"$4,500 ","West Covina, California, United States",2015,450,Black,Kawasaki,"Vehicle has an existing warranty",Ninja,,"Sport Bike",9.1,307,"Private Seller"
,Used,"$5,000 ","Denton, Texas, United States",2002,"71,368",Silver,Honda,"Vehicle does NOT have an existing warranty","Gold Wing",GL1800,Touring,100,135,"Private Seller"
,New,$799,"Arlington, Texas, United States",2017,1,"Red Blue Orange  White Green","Other Makes","Vehicle has an existing warranty","007 dirt bike",,Off-Road,9.5,1914,Dealer
,Used,"$14,993 ","Mansfield, Texas, United States",2012,"23,162",Blue,Harley-Davidson,,"Street Glide",,,100,661,
,Used,"$1,225 ","Scott City, Missouri, United States",2009,"31,731",Silver,Harley-Davidson,"Vehicle has an existing warranty","Electra Glide Classic",,Gasoline,100,4,Dealer
,Used,"$5,500 ","Arlington, Texas, United States",2006,"13,155",Red,Harley-Davidson,,"Sportster 883",,,100,634,
,Used,"$11,500 ","Sachse, Texas, United States",1993,"18,000",,Harley-Davidson,"Vehicle does NOT have an existing warranty",FXR,,,100,440,"Private Seller"
,Used,"$2,350 ","LaGrange, Georgia, United States",2006,"10,865",Blue,Kawasaki,,Ninja,,,100,13,
,Used,"$4,300 ","Brookfield, Connecticut, United States",2008,"19,925",BLUE,BMW,,R-Series,,"Sport Touring",>99,1135,Dealer
,Used,"$1,025 ","Crozet, Virginia, United States",2004,"15,804",Black,Suzuki,Unspecified,Other,,"Sport Touring",100,84,"Private Seller"
,Used,"$4,100 ","Tilton, Illinois, United States",2017,0,Maroon,"Custom Built Motorcycles",,Chopper,"Hardtail Springer",Chopper,100,107,Dealer
,New,"$10,999 ","Petersburg, West Virginia, United States",2016,0,"Golden Blazed Green / Metallic Spark Black",Kawasaki,,Ninja,,Standard,9.7,21748,Dealer
,Used,"$4,500 ","West Covina, California, United States",2015,450,Black,Kawasaki,"Vehicle has an existing warranty",Ninja,,"Sport Bike",9.1,307,"Private Seller"
,Used,"$12,355 ","Arlington, Texas, United States",2012,"28,066",Black,Harley-Davidson,,"Road King",,,100,634,
,Used,"$5,000 ","Denton, Texas, United States",2002,"71,368",Silver,Honda,"Vehicle does NOT have an existing warranty","Gold Wing",GL1800,Touring,100,135,"Private Seller"
,Used,"$5,000 ","Cincinnati, Ohio, United States",1999,"28,000",Purple,Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,"1200 SPORT","Sport Touring",,165,"Private Seller"
,Used,"$8,997 ","Mansfield, Texas, United States",2009,"4,417",Blue,Harley-Davidson,,V-ROD,,,100,661,
,New,"$1,599 ","Arlington, Texas, United States",2017,1,"Black Blue Red Green","Other Makes","Vehicle has an existing warranty","APOLLO DIRT BIKE 250",,"Dual-Purpose Endure dirt bike 250 cc",9.5,1914,Dealer
,Used,"$7,500 ","Mattituck, New York, United States",2009,"18,926",White,Harley-Davidson,"Vehicle does NOT have an existing warranty","Road King Police Special",,"Road King Police Special",100,128,Dealer
,Used,"$9,000 ","Middletown, Delaware, United States",2012,"3,050",Blue,Harley-Davidson,"Vehicle does NOT have an existing warranty",Dyna,,Standard,100,45,"Private Seller"
,Used,"$3,900 ","Las Vegas, Nevada, United States",1989,"33,000",,Harley-Davidson,,FXR,,,100,15,
,New,"$8,799 ","Brilliant, Ohio, United States",2016,1,GREY,Kawasaki,"Vehicle has an existing warranty",Ninja,ZX6R,"Sport Bike",100,334,Dealer
,Used,"$8,000 ","White House, Tennessee, United States",2000,"58,000",Black,Harley-Davidson,,Softail,,,100,1,"Private Seller"
,Used,"$7,400 ","Marina del Rey, California, United States",2015,"1,000",Black,Indian,"Vehicle has an existing warranty",Scout,,Cruiser,100,168,Dealer
,Used,"$1,850 ","North Hampton, New Hampshire, United States",2016,"2,258","THUNDER GREY METALLIC",BMW,,R-Series,,,100,726,Dealer
,Used,"$1,225 ","Norwood, Massachusetts, United States",1974,"1,374",,Honda,"Vehicle does NOT have an existing warranty","Elsinore MT250",,"Original Paint",100,152,"Private Seller"
,New,"$8,899 ","Bartlesville, Oklahoma, United States",2015,0,Black,Kawasaki,"Vehicle has an existing warranty",Ninja,,"Sport Bike",6.6,372,Dealer
,New,"$1,300 ","Nogales, Arizona, United States",2017,0,Blue,Suzuki,Unspecified,Other,AX100,Standard,100,3453,"Private Seller"
,Used,"$35,900 ","Lima, Ohio, United States",2012,"38,734",Blue,Honda,"Vehicle does NOT have an existing warranty","Gold Wing",GL1800,Touring,100,1645,Dealer
,Used,"$12,100 ","Brookfield, Connecticut, United States",2017,605,"ALPINE WHITE",BMW,,R-Series,,"Sport Touring",>99,1135,Dealer
,Used,"$8,888 ","Mansfield, Texas, United States",2012,"22,963",Black,Harley-Davidson,,"Dyna Super Glide",,,100,661,
,Used,"$15,000 ","Salem, Alabama, United States",2015,"7,190",Gray,"Other Makes","Vehicle does NOT have an existing warranty",Slingshot,,Trike,7.9,205,"Private Seller"
,Used,"$3,500 ","Braselton, Georgia, United States",2009,"32,500",Black,Kawasaki,"Vehicle does NOT have an existing warranty",Ninja,"Zx6r monster edition","Sport Bike",100,170,"Private Seller"
,Used,"$5,000 ","Atlantic Highlands, New Jersey, United States",2002,"4,700",Custom,Harley-Davidson,"Vehicle does NOT have an existing warranty",Dyna,Superglide,"Sport Bike",100,295,
,Used,"$7,655 ","Cole Harbour, Nova Scotia, Canada",1977,"3,448",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty","XLCR CAFE RACER","XLCR CAFE RACER","Caf\xE9 Racer",100,436,"Private Seller"
,New,"$24,998 ","Rockingham, North Carolina, United States",2017,0,Gray,"Other Makes","Vehicle has an existing warranty","POLARIS SLINGSHOT",,,100,903,Dealer
,Used,"$10,877 ","Mansfield, Texas, United States",2014,303,Black,Honda,,"Gold Wing Valkyrie",,,100,661,
,Used,"$4,800 ","Garrettsville, Ohio, United States",2012,30,Gray,Honda,,Other,,,100,118,"Private Seller"
,New,"$5,498 ","Rockingham, North Carolina, United States",2015,0,Black,Honda,"Vehicle has an existing warranty",NC700X,NC700X,Cruiser,100,903,Dealer
,New,"$5,690 ","Manitowoc, Wisconsin, United States",2015,2,"Blue or Black",Suzuki,"1 Year",GSX-S750Z,,Standard,8.9,3148,Dealer
,Used,"$1,275 ","Schenectady, New York, United States",1997,"18,877",Purple,Honda,"Vehicle does NOT have an existing warranty",CBR,"CBR F3 600","Sport Bike",100,1028,Dealer
,Used,"$10,995 ","Zieglerville, Pennsylvania, United States",1984,"37,244",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",FXR,"FXRT Sport Glide",Cruiser,100,297820,Dealer
,Used,"$1,100 ","Leander, Texas, United States",2006,"8,351",Red,Kawasaki,,Ninja,EX,"Sport Bike",100,72,"Private Seller"
,Used,"$25,750 ","Arlington, Texas, United States",2013,"7,682",Gold,Harley-Davidson,,"CVO Road Glide",,,100,634,
,Used,"$8,700 ","Columbus, Texas, United States",2014,"2,945",Red,Kawasaki,,Concours\x99,,Standard,5.8,341,Dealer
,Used,"$1,900 ","Ramona, California, United States",1983,"41,054",Black,Kawasaki,"Vehicle does NOT have an existing warranty",KZ1100,A3,Standard,100,93,"Private Seller"
,Used,"$8,750 ","Saint Paul, Minnesota, United States",2013,"39,354",Blue,Harley-Davidson,"Vehicle does NOT have an existing warranty","Road King Police",,Cruiser,,2140,Dealer
,Used,"$1,525 ","Montgomery, Alabama, United States",2007,"16,363",Gray,Suzuki,"Vehicle does NOT have an existing warranty",Other,650,"Sport Touring",100,96,"Private Seller"
,Used,"$1,500 ","Malone, Wisconsin, United States",1974,"2,634",Yellow,Honda,"Vehicle does NOT have an existing warranty",CT,,Dual-Purpose,9.1,1455,"Private Seller"
,Used,"$3,300 ","Lisbon, Maine, United States",2003,"96,000",Black,Honda,"Vehicle does NOT have an existing warranty","Gold Wing","touring 1800cc",Touring,100,647,"Private Seller"
,Used,"$1,200 ","Philo, Illinois, United States",1980,"19,800",Black,Yamaha,"Vehicle does NOT have an existing warranty",XS,,Standard,100,286,"Private Seller"
,Used,$500,"Christiansburg, Virginia, United States",1994,"56,109","Pearl White",BMW,"Vehicle does NOT have an existing warranty",R-Series,,"Sport Touring",,179,"Private Seller"
,Used,"$10,000 ","Hampton, New Hampshire, United States",1969,"32,700",Black,BMW,"Vehicle does NOT have an existing warranty",R-Series,R69S,"Sport Touring",,2,"Private Seller"
,Used,"$15,900 ","Altoona, Alabama, United States",2006,"77,026",BLACKCHERRY,Honda,,"Gold Wing",,Trike,100,430,Dealer
,Used,"$7,200 ","Tampa, Florida, United States",2011,"11,461",Orange,Harley-Davidson,"Vehicle does NOT have an existing warranty",V-ROD,"Night Rod Special",Cruiser,100,363,"Private Seller"
,Used,"$4,995 ","Gillett, Pennsylvania, United States",1997,"47,000",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Dyna,,Cruiser,100,707,"Private Seller"
,Used,$0,"Wilbraham, Massachusetts, United States",2011,"1,200",Orange,Harley-Davidson,"Vehicle does NOT have an existing warranty",Dyna,"Fat Bob",,,83,"Private Seller"
,Used,"$1,025 ","Crozet, Virginia, United States",2004,"15,804",Black,Suzuki,Unspecified,Other,,"Sport Touring",100,84,"Private Seller"
,Used,"$5,000 ","Cincinnati, Ohio, United States",1999,"28,000",Purple,Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,"1200 SPORT","Sport Touring",,165,"Private Seller"
,Used,"$27,900 ","Altoona, Alabama, United States",2012,"3,308",WHITE,Honda,"Vehicle has an existing warranty","Gold Wing",,Trike,100,430,Dealer
,New,"$11,499 ","Searcy, AR, United States",2017,1,Black,Yamaha,"Vehicle has an existing warranty",YZF-R,R6,"Sport Bike",100,35,Dealer
,New,"$6,150 ","Keokuk, Iowa, United States",2014,0,red,Yamaha,"Vehicle has an existing warranty","V Star",,Cruiser,100,673,Dealer
,Used,"$1,795 ","Corona, California, United States",2007,0,--,Honda,"Vehicle does NOT have an existing warranty",CR,,Gasoline,100,305,Dealer
,New,"$10,999 ","Petersburg, West Virginia, United States",2016,0,"Golden Blazed Green / Metallic Spark Black",Kawasaki,,Ninja,,Standard,9.7,21748,Dealer
,Used,"$4,500 ","West Covina, California, United States",2015,450,Black,Kawasaki,"Vehicle has an existing warranty",Ninja,,"Sport Bike",9.1,307,"Private Seller"
,Used,"$12,355 ","Arlington, Texas, United States",2012,"28,066",Black,Harley-Davidson,,"Road King",,,100,634,
,New,$799,"Arlington, Texas, United States",2017,1,"Red Blue Orange  White Green","Other Makes","Vehicle has an existing warranty","007 dirt bike",,Off-Road,9.5,1914,Dealer
,Used,"$8,997 ","Mansfield, Texas, United States",2009,"4,417",Blue,Harley-Davidson,,V-ROD,,,100,661,
,Used,"$11,500 ","Sachse, Texas, United States",1993,"18,000",,Harley-Davidson,"Vehicle does NOT have an existing warranty",FXR,,,100,440,"Private Seller"
,Used,"$7,500 ","Mattituck, New York, United States",2009,"18,926",White,Harley-Davidson,"Vehicle does NOT have an existing warranty","Road King Police Special",,"Road King Police Special",100,128,Dealer
,Used,"$24,900 ","Altoona, Alabama, United States",2008,"19,118",BLACKCHERRY,Honda,"Vehicle has an existing warranty","Gold Wing",,Trike,100,430,Dealer
