Listing Office - Office Name,List Agent - Agent Name,Price,Status,Address,City,MLS #,Property Type,State,County,Date - MLS List,Bedrooms - Total,Baths - Total,SqFtTotFn,DOM,Assessment Amount,Assessment Year,Price - Closed,Price - List,PicCount, Price - Original , Tax - Gross Amount ,Date - Closed,Lot - Acres,Garage Type,Year Built,Total Stories,Surveyed,Showing Service,Seasonal,Water Body Type,Water Frontage Length,Short Sale,Rooms - Total,Rented,Garage Capacity,Garage,Foreclosed/Bank-Owned/REO,Flood Zone,Easements,Development / Subdivision,Current Use,Covenants,Common Land Acres,Basement Access Type,Basement
Cantlin Associates REALTORS,house 2264,"$180,000",CL,5 Hersey Way,Canaan,4139864,Single Family,NH,NH-Grafton,3/10/2012,3,2,"2,616",195,"$163,700",2011,"$180,000","$189,000",24,"215,000","3,821",11/2/2012,1.7,,1989,1.5,Yes,,No,,,,7,,6,Yes,No,No,,,No,Yes,,Walk-up,Yes
Moosilauke Realty,Myles Moran,"$150,000",CL,25 Rogers Way,Canaan,4139948,Single Family,NH,NH-Grafton,3/12/2012,3,2,"1,972",0,"$272,000",2010,"$150,000","$159,900",5,"159,900","5,800",4/30/2012,2.7,Detached,1995,1.75,Yes,,No,,,,9,,2,Yes,Yes,No,,,No,Unknown,,Interior,Yes
Granite Northland Associates,Doreen Wyman,"$211,000",CL,70 Wolfson Spring,Canaan,4142306,Single Family,NH,NH-Grafton,3/22/2012,3,2,0,269,,,"$211,000","$225,000",24,"265,000","4,505",2/7/2013,16.46,Under,2004,2.5,Yes,,No,,,,8,,0,No,No,No,,,Yes,Unknown,,Walkout,Yes
Coldwell Banker RB/Center Harbor,Robert Williams,"$28,000",CL,60 Gould Road,Canaan,4144886,Single Family,NH,NH-Grafton,4/1/2012,0,0,600,129,"$47,100",2011,"$28,000","$39,500",12,"39,500","1,099",8/21/2012,1,,1968,1,Yes,,Yes,,,,0,,0,No,No,No,,,,No,,,No
Granite Northland Associates,Doreen Wyman,"$100,000",CL,43 Gristmill Hill Road,Canaan,4145928,Single Family,NH,NH-Grafton,4/5/2012,3,1,"1,499",44,"$153,700",,"$100,000","$125,000",18,"125,000","3,587",7/18/2012,5.4,Attached,1840,1.75,Yes,,No,,,,7,,1,Yes,No,No,,,No,No,,Walk-up,Yes
Moseley Associates,Cheryl Brush,"$115,000",CL,51 Canaan Street,Canaan,4147155,Single Family,NH,NH-Grafton,4/9/2012,3,2,"1,288",21,,,"$115,000","$129,000",15,"129,000","3,095",6/12/2012,0.28,Detached,1912,1,Unknown,,No,,,,5,,2,Yes,Yes,Unknown,,,,No,,Walkout,Yes
Vanessa Stone Real Estate,Vanessa Stone,"$219,000",CL,672 Goose Pond Road,Canaan,4146884,Single Family,NH,NH-Grafton,4/9/2012,2,1,"1,134",123,"$246,300",2011,"$219,000","$244,000",14,"249,000","5,749",9/14/2012,1.4,,1978,2,Yes,,No,Lake,150,,4,,0,No,,No,,,No,No,,Walk-up,Yes
Vanessa Stone Real Estate,Vanessa Stone,"$170,000",CL,60 Gristmill Hill Rd,Canaan,4147649,Single Family,NH,NH-Grafton,4/11/2012,3,2,"1,805",27,"$142,600",,"$170,000","$188,000",10,"188,000","3,328",6/15/2012,0.92,Attached,1995,1,Yes,,No,,,,6,,1,Yes,No,No,,,No,Yes,,Walkout,Yes
Vanessa Stone Real Estate,Vanessa Stone,"$90,000",CL,835 Grafton Turnpike,Canaan,4149287,Single Family,NH,NH-Grafton,4/18/2012,2,1,968,62,,,"$90,000","$110,000",7,"110,000", -   ,7/13/2012,2.29,,1988,1.5,Unknown,,No,,,,5,,0,No,Yes,Unknown,,,No,No,,,No
Vanessa Stone Real Estate,Vanessa Stone,"$184,000",CL,355 Jones Hill Rd.,Canaan,4150907,Single Family,NH,NH-Grafton,4/25/2012,2,1,"1,120",349,,,"$184,000","$189,000",12,"225,000", -   ,6/12/2013,5.07,,2012,1,Yes,,No,,,,4,,0,No,No,Unknown,,,No,No,,,No
Granite Northland Associates,Doreen Wyman,"$135,000",CL,54 BLAIN ROAD,Canaan,4151510,Single Family,NH,NH-Grafton,4/27/2012,3,2,"1,188",20,,2011,"$135,000","$144,900",13,"144,900","3,237",7/6/2012,5.05,,2003,1,Yes,,No,,,,6,,0,No,,No,,,No,No,,,No
Granite Northland Associates,Doreen Wyman,"$284,900",CL,124 South Road,Canaan,4151913,Single Family,NH,NH-Grafton,4/30/2012,3,3,"3,686",271,,,"$284,900","$299,000",24,"299,000","6,995",2/25/2013,2.66,Under,1991,2,Yes,,No,Pond,285,,9,,2,Yes,No,No,,,,No,,,No
Granite Northland Associates,Joyce Harvey,"$199,000",CL,523 Switch Road,Canaan,4156165,Single Family,NH,NH-Grafton,5/15/2012,2,2,"1,536",48,"$173,900",,"$199,000","$210,000",23,"210,000","4,058",8/10/2012,3,Attached,2000,1,No,,No,River,425,,7,,1,Yes,,Unknown,,,No,No,,Interior,Yes
Granite Northland Associates,Doreen Wyman,"$225,000",CL,685 SOUTH ROAD,Canaan,4160878,Single Family,NH,NH-Grafton,5/31/2012,3,2,"2,080",161,,2011,"$225,000","$250,000",24,"285,000","5,688",12/27/2012,6.3,Attached,1991,2.5,Yes,,No,,,,6,,2,Yes,,Unknown,,,No,Yes,,,No
Granite Northland Associates,Doreen Wyman,"$165,000",CL,132 Follensbee Road,Canaan,4162801,Single Family,NH,NH-Grafton,6/4/2012,2,1,"1,280",303,,,"$165,000","$179,900",17,"179,900","2,916",5/15/2013,7,Detached,1973,1,Unknown,,No,,,,7,,2,Yes,No,No,,,,No,,Interior,Yes
Coldwell Banker Redpath and Co./Quechee,agent22051 house,"$154,500",CL,302 Canaan Street,Canaan,4163162,Single Family,NH,NH-Grafton,6/5/2012,2,2,"1,374",143,,,"$154,500","$159,000",13,"179,000","3,356",11/14/2012,3.85,Carport,2004,3,Yes,,No,Lake,250,,5,,1,Yes,No,No,,,,No,,,No
RE/MAX Northern Edge Realty LLC,Steve Grone,"$50,001",CL,159 Gould Rd,Canaan,4165422,Single Family,NH,NH-Grafton,6/13/2012,2,1,"2,309",44,"$159,600",2012,"$50,001","$49,900",14,"104,900","3,725",8/24/2012,9.6,,1960,2,Unknown,,No,,,,6,,0,No,Yes,Unknown,,,,Unknown,,,No
Martha E. Diebold/Hanover,Susanne Pacilio,"$263,000",CL,503 Switch Road,Canaan,4167123,Single Family,NH,NH-Grafton,6/20/2012,3,3,"2,624",398,"$263,700",,"$263,000","$323,000",23,"349,000","6,155",9/9/2013,7,Detached,1840,2,No,,No,River,"1,000",,10,,2,Yes,No,Unknown,,,,No,,Interior,Yes
Granite Northland Associates,Doreen Wyman,"$58,100",CL,34 ROGERS WAY,Canaan,4170234,Single Family,NH,NH-Grafton,6/29/2012,3,2,"1,424",31,"$140,400",,"$58,100","$38,610",21,"38,610","3,276",9/14/2012,1.9,,1994,1.75,Yes,,No,,,,6,,0,No,Yes,Unknown,,,,Unknown,,Walkout,Yes
Coldwell Banker Redpath and Company,House Agent,"$193,800",CL,165 HINKSON BROOK,Canaan,4170673,Single Family,NH,NH-Grafton,7/5/2012,3,2,"2,244",343,"$215,200",2011,"$193,800","$199,000",13,"215,000","5,023",8/15/2013,1.2,Attached,1973,2,No,,No,,,,6,,2,Yes,No,Unknown,,,,No,,Interior,Yes
Vanessa Stone Real Estate,Vanessa Stone,"$245,000",CL,562 Fernwood Farms Road,Canaan,4172690,Single Family,NH,NH-Grafton,7/11/2012,1,2,320,34,,,"$245,000","$299,000",13,"325,000","5,256",9/21/2012,3,,1950,1,Unknown,,Yes,Lake,155,,3,,0,No,No,Unknown,,,,No,,,No
Granite Northland Associates,Doreen Wyman,"$147,000",CL,52 EASTMAN,Canaan,4173482,Single Family,NH,NH-Grafton,7/17/2012,3,2,"1,104",83,"$96,545",,"$147,000","$149,000",4,"158,000","2,025",1/11/2013,14.3,,1999,1,Yes,,No,,,,5,,0,No,,No,,,,No,,,No
Four Seasons Sotheby's Int'l Realty,Richard M Higgerson,"$190,000",CL,1060 Goose Pond Road,Canaan,4173998,Single Family,NH,NH-Grafton,7/19/2012,2,1,802,2,"$198,300",,"$190,000","$199,000",7,"199,000","4,628",8/30/2012,0.52,,1950,1,Unknown,,Yes,Pond,115,,4,,0,No,No,Unknown,,,No,Yes,,,No
Vanessa Stone Real Estate,Frederick Lane,"$227,500",CL,404 Jones Hill Road,Canaan,4176639,Single Family,NH,NH-Grafton,8/1/2012,3,3,"2,438",6,,,"$227,500","$239,900",5,"239,900","4,509",9/24/2012,1.5,Detached,1991,1.75,Yes,,No,,,,10,,2,Yes,No,No,,,No,No,,Walkout,Yes
Coldwell Banker Homes Unlimited,Cedric Howard,"$65,000",CL,180 Canaan Street,Canaan,4180103,Single Family,NH,NH-Grafton,8/13/2012,2,1,915,19,"$102,100",2011,"$65,000","$64,900",5,"64,900","2,380",10/18/2012,5,,2000,1.5,Unknown,,Unknown,,,,5,,0,No,Yes,Unknown,,,,Unknown,,,No
Vanessa Stone Real Estate,Vanessa Stone,"$92,700",CL,19 School St,Canaan,4181651,Single Family,NH,NH-Grafton,8/22/2012,3,1,960,303,"$81,000",,"$92,700","$92,800",12,"88,800","1,891",8/16/2013,0.11,,1940,2,Unknown,,No,,,,7,,0,No,No,Unknown,,,No,Unknown,,,No
Vanessa Stone Real Estate,Vanessa Stone,"$192,000",CL,22 School Street,Canaan,4186310,Single Family,NH,NH-Grafton,9/17/2012,4,2,"3,078",58,"$162,200",2011,"$192,000","$188,800",23,"188,800","4,038",1/7/2013,0.17,Carport,2004,2,Unknown,,No,,,,10,,0,No,No,No,,,No,No,,Interior,Yes
RE/MAX Northern Edge Realty LLC,Steve Grone,"$119,000",CL,154 Grafton Turnpike Road,Canaan,4188244,Single Family,NH,NH-Grafton,9/25/2012,3,2,"1,944",13,"$241,000",2011,"$119,000","$99,000",9,"99,000","5,624",3/22/2013,3.4,Detached,1990,2,Unknown,,No,,,,6,,1,Yes,No,No,,,,No,,Interior,Yes
Century 21 Energy Shield Realty/Lebanon,William Sahlman,"$26,730",CL,41 NH Route 118,Canaan,4193315,Single Family,NH,NH-Grafton,10/17/2012,5,3,"3,552",10,"$165,900",,"$26,730","$26,730",24,"26,730","3,911",12/7/2012,0.65,Attached,1890,2,Unknown,,No,,,,13,,1,Yes,,Unknown,,,,No,,Interior,Yes
Granite Northland Associates,Doreen Wyman,"$188,000",CL,1282 US Route 4,Canaan,4194073,Single Family,NH,NH-Grafton,10/22/2012,3,0,"1,248",166,,,"$188,000","$188,000",18,"188,000","3,940",5/29/2013,0.55,,2005,1,Yes,,No,,,,5,,0,No,No,No,,,,No,,Walk-up,Yes
Granite Northland Associates,Doreen Wyman,"$30,000",CL,82 Cod Fish Hill,Canaan,4194392,Single Family,NH,NH-Grafton,10/24/2012,2,1,"1,088",243,,,"$30,000","$59,500",9,"59,500","1,192",6/28/2013,1,Attached,1790,1,Unknown,,No,,,,4,,1,Yes,No,No,,,,No,,Walkout,Yes
Century 21 Energy Shield Realty/Lebanon,William Sahlman,"$70,150",CL,8 Reagan Road,Canaan,4196711,Single Family,NH,NH-Grafton,11/7/2012,3,2,"1,696",8,"$151,000",,"$70,150","$67,000",20,"67,000","3,524",1/22/2013,0.34,Attached,1840,1.5,Unknown,,No,,,,6,,1,Yes,Yes,Unknown,,,,No,,Interior,Yes
Granite Northland Associates,Doreen Wyman,"$44,000",CL,163 NH Route118,Canaan,4205298,Single Family,NH,NH-Grafton,12/6/2012,0,0,"1,120",363,,,"$44,000","$49,900",1,"85,500","2,051",12/4/2013,1.25,,2008,1,Unknown,,No,,,,1,,1,Yes,No,No,,,No,No,,,No
Vanessa Stone Real Estate,Vanessa Stone,"$164,000",CL,9 Whispering Winds Way,Canaan,4206222,Single Family,NH,NH-Grafton,12/11/2012,2,1,"1,088",107,"$140,400",2012,"$164,000","$169,900",20,"169,900","3,353",5/15/2013,2.9,,1958,1.5,Unknown,,No,,,,5,,0,No,No,No,,,,No,,Walkout,Yes
Coldwell Banker RB/Laconia Court St.,Mary Williams,"$38,000",CL,183 Orange Rd,Canaan,4207919,Single Family,NH,NH-Grafton,12/26/2012,4,2,"2,380",252,"$173,700",2012,"$38,000","$65,000",10,"112,200","4,155",9/30/2013,1.2,,1940,2,Unknown,,No,,,,8,,0,No,Yes,Unknown,,,,Unknown,,Walk-up,Yes
Granite Northland Associates,Doreen Wyman,"$30,000",CL,1012 US Route 4,Canaan,4209269,Single Family,NH,NH-Grafton,1/3/2013,3,1,"1,163",407,,2010,"$30,000","$49,500",11,"85,000","1,961",2/24/2014,3.5,,1860,1.5,No,,No,River,600,No,6,,0,No,No,No,,,No,No,,Walk-up,Yes
Vanessa Stone Real Estate,Vanessa Stone,"$29,900",CL,143 Back Bay Road,Canaan,4209413,Single Family,NH,NH-Grafton,1/5/2013,1,1,625,59,"$40,000",2012,"$29,900","$34,500",8,"34,500",955,4/2/2013,0.69,,1970,1,Unknown,,No,,,,4,,0,No,No,No,,,,No,,,No
Vanessa Stone Real Estate,Frederick Lane,"$250,000",CL,176 South Road,Canaan,4210094,Single Family,NH,NH-Grafton,1/9/2013,3,3,"2,304",37,,,"$250,000","$279,000",16,"279,000","4,602",4/12/2013,3,,1840,2,Yes,,No,,,,7,,0,No,No,No,,,,No,,Walkout,Yes
Four Seasons Sotheby's Int'l Realty,Melissa Robinson,"$175,000",CL,267 Grafton Turnpike Road,Canaan,4214037,Single Family,NH,NH-Grafton,1/31/2013,2,1,"1,404",5,,,"$175,000","$175,000",18,"175,000","2,864",4/19/2013,2,,1982,2,Unknown,,No,,,,6,,0,No,No,Unknown,,,No,No,,Walkout,Yes
Vanessa Stone Real Estate,Vanessa Stone,"$125,000",CL,69 Blackwater Road,Canaan,4216313,Single Family,NH,NH-Grafton,2/12/2013,3,1,"1,316",10,"$129,800",2013,"$125,000","$129,900",14,"129,900","3,100",4/12/2013,0.81,Attached,1960,1,Unknown,,No,,,,5,,1,Yes,No,Yes,,,,No,,Interior,Yes
Granite Group Realty Services,Sherman Ross,"$50,000",CL,78 Orange Rd,Canaan,4220117,Single Family,NH,NH-Grafton,3/5/2013,2,2,"1,096",239,"$142,700",2012,"$50,000","$64,900",12,"83,900","3,109",11/7/2013,1.14,Carport,1987,2,Unknown,,No,,,,6,,1,Yes,Yes,Unknown,,,,No,,Walkout,Yes
Granite Northland Associates,Doreen Wyman,"$275,000",CL,577 Grafton Turnpike Road,Canaan,4221139,Single Family,NH,NH-Grafton,3/11/2013,4,2,"1,952",232,,,"$275,000","$274,000",18,"349,500","5,972",12/10/2013,20.3,Under,2005,1.5,Yes,,No,,,,9,,2,Yes,No,No,,,Yes,Yes,,Walkout,Yes
Granite Northland Associates,Doreen Wyman,"$19,900",CL,1 Bruce Road,Canaan,4226902,Single Family,NH,NH-Grafton,4/2/2013,3,2,"3,534",38,"$179,600",,"$19,900","$24,750",12,"24,750","4,289",6/14/2013,0.72,,1945,2,Unknown,,No,,,,8,,0,No,Yes,Unknown,,,,No,,Interior,Yes
Granite Northland Associates,Doreen Wyman,"$215,000",CL,705 Canaan Street,Canaan,4226237,Single Family,NH,NH-Grafton,4/2/2013,3,2,"1,764",79,,,"$215,000","$219,900",24,"219,900","4,167",7/31/2013,0.74,Attached,1850,1.5,Yes,,No,,,,10,,2,Yes,No,No,,,No,No,,Interior,Yes
Coldwell Banker RB/Laconia Court St.,Mary Williams,"$142,000",CL,48 Overlook Way,Canaan,4226898,Single Family,NH,NH-Grafton,4/3/2013,3,2,"1,344",23,"$152,400",2012,"$142,000","$141,780",16,"141,780","3,557",5/24/2013,2.1,Detached,1992,2,Unknown,,No,,,,5,,2,Yes,Yes,Unknown,,,,Unknown,,Walkout,Yes
Vanessa Stone Real Estate,Vanessa Stone,"$186,000",CL,28 COLUMBIA LANE,Canaan,4232715,Single Family,NH,NH-Grafton,4/26/2013,3,2,"2,158",8,,,"$186,000","$189,500",10,"189,500","3,632",6/21/2013,2.15,,1999,1,Yes,,No,River,139,,7,,0,No,No,Yes,,,,Yes,,Interior,Yes
Four Seasons Sotheby's Int'l Realty,Dick DuMez,"$169,000",CL,20 Jerusalem Road,Canaan,4236576,Single Family,NH,NH-Grafton,5/8/2013,4,2,"1,800",33,"$168,400",,"$169,000","$169,000",20,"169,000","4,022",8/22/2013,3.5,Attached,1972,2,Unknown,,No,,,,8,,1,Yes,No,No,,,Unknown,No,,,No
Vanessa Stone Real Estate,Vanessa Stone,"$190,000",CL,188 Jerusalem,Canaan,4236908,Single Family,NH,NH-Grafton,5/11/2013,2,2,"1,724",116,"$212,000",2007,"$190,000","$188,500",24,"190,000","4,518",9/30/2013,1.38,Detached,1987,1,Yes,,No,,,,9,,2,Yes,No,No,,,No,No,,Interior,Yes
Coldwell Banker Redpath and Company,House Agent,"$37,500",CL,232 River Rd,Canaan,4246706,Single Family,NH,NH-Grafton,6/15/2013,1,1,"1,312",47,,,"$37,500","$50,000",12,"50,000", -   ,8/21/2013,1.49,,1933,1.5,Unknown,,No,,,,4,,0,No,No,Unknown,,,,No,,Walk-up,Yes
Century 21 Shepard & Flint Realty,April Shepard,"$45,000",CL,12 Nicks Lane,Canaan,4247814,Single Family,NH,NH-Grafton,6/20/2013,3,1,702,28,,,"$45,000","$49,900",9,"57,900","1,519",7/30/2013,3.44,,2005,1,Unknown,,No,,,,5,,0,No,Yes,Unknown,Yes,,,Unknown,,,No
Vanessa Stone Real Estate,Vanessa Stone,"$147,500",CL,856 Goose Pond Road,Canaan,4249315,Single Family,NH,NH-Grafton,6/24/2013,2,1,762,32,"$188,500",,"$147,500","$165,000",7,"165,000","4,501",8/16/2013,0.32,,1945,1,Unknown,,Yes,,,,5,,0,No,No,Unknown,,,,No,,,No
Century 21 Energy Shield Realty/Lebanon,William Sahlman,"$132,000",CL,417 Choate Road,Canaan,4252168,Single Family,NH,NH-Grafton,7/3/2013,2,1,"1,050",9,"$135,600",,"$132,000","$137,900",18,"137,900","2,698",8/30/2013,1.54,Detached,1965,1,Yes,,No,,,,6,,2,Yes,No,No,,,,Unknown,,,No
Granite Northland Associates,Doreen Wyman,"$199,000",CL,254 Grist Mill Hill Road,Canaan,4253698,Single Family,NH,NH-Grafton,7/9/2013,4,2,"1,890",377,,,"$199,000","$210,000",26,"215,000","4,616",9/5/2014,12.5,Attached,1830,1.75,No,,No,Brook,,No,7,,1,Yes,No,No,,,Yes,No,,Walk-up,Yes
Granite Northland Associates,Doreen Wyman,"$65,000",CL,293 US Route 4,Canaan,4254528,Single Family,NH,NH-Grafton,7/15/2013,4,1,"1,350",472,"$117,800",,"$65,000","$69,500",18,"112,000","2,887",12/1/2014,0.5,,1900,1.5,No,,No,,,No,7,,0,No,No,No,,,No,No,,Interior,Yes
Vanessa Stone Real Estate,Frederick Lane,"$85,000",CL,410 NH Route 118,Canaan,4256460,Single Family,NH,NH-Grafton,7/23/2013,3,2,960,489,,,"$85,000","$109,000",12,"119,000","2,726",12/15/2014,3.1,,2006,1.75,Yes,,No,River,336,No,5,,0,No,No,Unknown,,,No,No,,Interior,Yes
Vanessa Stone Real Estate,Vanessa Stone,"$177,000",CL,8 Reagan Road,Canaan,4259863,Single Family,NH,NH-Grafton,8/2/2013,3,2,"1,696",71,"$151,000",,"$177,000","$179,900",17,"179,900","3,606",11/27/2013,0.34,Attached,1840,1.75,Yes,,No,,,,6,,1,Yes,No,Unknown,,,No,Unknown,,Walk-up,Yes
Vanessa Stone Real Estate,Mary L Chamberlin,"$199,900",CL,36 HIGH STREET,Canaan,4259285,Single Family,NH,NH-Grafton,8/2/2013,4,2,"2,200",21,"$212,000",,"$199,900","$199,900",36,"199,900","5,015",10/4/2013,0.28,,1898,1.75,Unknown,,No,,,,11,,0,No,No,No,,,,No,,Walk-up,Yes
Granite Northland Associates,Joyce Harvey,"$160,000",CL,55 Gristmill Hill Road,Canaan,4293114,Single Family,NH,NH-Grafton,8/16/2013,2,1,"1,260",35,"$147,100",2013,"$160,000","$177,500",10,"177,500","3,513",11/15/2013,5,Under,1987,1,Yes,,No,,,,5,,1,Yes,No,No,,,No,Unknown,,Interior,Yes
Big Green Real Estate,Bruce Bronner,"$188,400",CL,1042 Goose Pond Road,Canaan,4311417,Single Family,NH,NH-Grafton,8/19/2013,3,1,823,31,"$188,400",2012,"$188,400","$198,900",7,"198,900","4,499",10/21/2013,0.21,,1970,1.5,Unknown,,Yes,Pond,81,,7,,0,No,No,No,,,,No,,Walkout,No
Vanessa Stone Real Estate,Vanessa Stone,"$79,000",CL,153 Roberts,Canaan,4314129,Single Family,NH,NH-Grafton,9/6/2013,3,1,"1,366",115,"$114,600",2007,"$79,000","$89,000",31,"114,500","2,017",2/7/2014,2.06,,1982,1,Yes,,No,,,,7,,0,No,No,No,,,,No,,,No
Vanessa Stone Real Estate,Vanessa Stone,"$179,900",CL,317 West Farms Road,Canaan,4314459,Single Family,NH,NH-Grafton,9/9/2013,3,2,"1,075",43,,,"$179,900","$179,900",12,"179,900","2,527",12/13/2013,0.4,Under,1964,1,Unknown,,No,,,,5,,2,Yes,No,No,,,,Unknown,,Walkout,Yes
Granite Northland Associates,Doreen Wyman,"$35,000",CL,1275 US Route 4,Canaan,4319232,Single Family,NH,NH-Grafton,10/3/2013,2,1,892,22,"$117,900",,"$35,000","$49,000",7,"49,000","2,815",11/8/2013,0.5,,1914,1.5,Unknown,,No,,,,5,,0,No,No,No,,,No,No,,Interior,Yes
Granite Northland Associates,Doreen Wyman,"$79,000",CL,49 NH Route 118,Canaan,4320241,Single Family,NH,NH-Grafton,10/9/2013,4,1,"2,118",48,"$147,900",,"$79,000","$85,000",18,"85,000","3,532",11/6/2014,0.6,,1890,2,Unknown,,No,,,No,9,,0,No,No,No,,,No,No,,Walk-up,Yes
Granite Northland Associates,Doreen Wyman,"$247,500",CL,452 Canaan Street,Canaan,4321742,Single Family,NH,NH-Grafton,10/18/2013,3,1,"1,080",368,,,"$247,500","$249,000",20,"349,000","8,415",12/5/2014,0.98,,1800,1.5,Yes,,No,Lake,184,No,5,,0,No,No,No,,,No,No,,Walk-up,Yes
LindeMac Real Estate,Linde McNamara,"$135,000",CL,510 Canaan Street,Canaan,4323734,Single Family,NH,NH-Grafton,10/30/2013,3,3,"1,599",210,"$201,800",,"$135,000","$159,900",16,"189,000","4,819",7/2/2014,0.9,,1835,1.5,Unknown,,No,,,No,9,,0,No,No,No,,,,Yes,,Interior,Yes
Granite Northland Associates,Doreen Wyman,"$179,900",CL,130 South Road,Canaan,4324176,Single Family,NH,NH-Grafton,11/2/2013,2,1,"1,884",11,,,"$179,900","$179,900",30,"179,900","4,123",12/23/2013,2.66,Attached,1986,1,Yes,,No,Pond,,,7,,1,Yes,No,No,,,,No,,Walk-up,Yes
Granite Northland Associates,Doreen Wyman,"$188,000",CL,663 South Rd,Canaan,4327167,Single Family,NH,NH-Grafton,11/25/2013,2,1,"1,144",79,,,"$188,000","$193,500",25,"193,500","4,344",3/20/2014,1.04,,2006,1.5,Yes,,No,,,No,5,,0,No,No,No,,,,No,,Walk-up,Yes
RE/MAX Connection,Simone Barry,"$35,500",CL,31 MAPLE AVE,Canaan,4328405,Single Family,NH,NH-Grafton,12/6/2013,3,2,"1,715",24,"$73,900",,"$35,500","$43,900",22,"43,900","1,520",1/10/2014,0.25,Detached,1830,1.75,Unknown,,No,,,,7,,1,Yes,Yes,No,,,,No,,Walk-up,Yes
Vanessa Stone Real Estate,Vanessa Stone,"$255,000",CL,25 Cardigan Mtn Rd,Canaan,4329521,Single Family,NH,NH-Grafton,12/17/2013,3,2,"1,938",5,,,"$255,000","$264,900",36,"264,900","4,194",2/6/2014,15.02,Detached,1950,2,Unknown,,No,Brook,"1,600",,7,,1,Yes,No,Unknown,,,No,No,,Walk-up,Yes
