address,area,city,country,hotel_category,hotel_description,hotel_facilities,hotel_star_rating,image_count,latitude,locality,longitude,property_id,property_name,property_type,province,room_area,room_count,room_facilities,room_type,state,uniq_id
"Ashirwad Enclave, Lakhimi Path, Jonali, R.G.Baruah Road,",Rg Baruah Road,Guwahati,India,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We will require ID proof of all guest including spouses and fiances. Checkout is 12 noon which can be flexible depending on guest booking for that particular day.,Business Center |Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Welcome Drinks|Power Backup|Gardens|Conference Facility |Kitchen available (home cook food on request)|Car Rental|Board Room|Internet Access Free|Newspapers In Lobby|Children's Park| Cook Services|Parking Facility|Room Service,0,13,26.16618281,Rg Baruah Road,91.77741357,HTLGBO1000078940,Ashirwad Homestay,Hotel,Guwahati,,4,Room Service |Basic Bathroom Amenities|Ceiling Fan|Tea Coffee Kettle / Maker|Mirror,Deluxe Ac Suite with Kitchentte,Assam,0e82d18692933c36f3be2928b60ab191
"Near Botanical Garden Metro Station,Sec  -  46",Others,NOIDA,India,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Extra Person / Child - Share the same room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,0,0,28.5522379,Others,77.3597194,HTLGBO1000003719,Apna Ghar- Sector 46,Guest House,NOIDA,,32,Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Iron / Ironing board available|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Safe - In - Room,Deluxe Room,Uttar Pradesh,7d3a45fb5a5481f4f28975cebc8dd3c0
"429, Sector-6, Rohini, Near Vidha Jain Public School",Rohini,Delhi,India,regular,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Doctor on Call|Parking Facilities Available|Front Desk|Power Backup|Smoking Area |Internet Access Free|Courier Service|Parking Facility|Room Service,0,6,28.7097476,Rohini,77.1103954,HTLGBO1000096488,Baba Guest House,Guest House,Delhi,,3,Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Internet Connection In Room|Telephone|Newspapers| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Window Opens|TV|Mirror|Daily Room Cleaning|Dustbins|In-room Storage Space|Sufficient Lighting|Western Toilet Seat,Standard Room,Delhi,45a4f01f95a7cf07713692c32efa9f3f
"Village Gurdorh, Naggar Road, Manali,Distt. Kullu Himachal Pradesh",Naggar Road,Manali,India,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|24 Hour Front Desk|Gardens,4,7,32.2459026,Naggar Road,77.1880853,HTLGBO1000054416,Baragarh Villa,Villa,Manali,,4,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Mineral Water|Attached Bathroom,Royal Suite,Himachal Pradesh,72968b25d39d6fbc47f342fc6ca80cee
"Titawada, Nerul Bardez Goa",Candolim Area,Goa,India,regular,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly AS PER GOVERNMENT DIRECTIVES IT IS MANDATORY FOR ALL GUEST TO SHOW THEIR PHOTO ID AT CHECK IN, WHICH CAN BE IN FORM OF PASSPORT AND VISA COPY/ DRIVING LICENSE/ VOTER ID CARD FAILING WHICH THE HOTEL RESERVES THE RIGHT OF REFUSAL.",,0,8,15.5049283,Candolim Area,73.7919103,HTLGBO1000008549,Annapurna Guest House,Guest House,Goa,,2,Air Conditioning |Ceiling Fan|Full Kitchen|Refrigerator|Shower Facility Available| Hot / Cold Running Water|Breakfast Available|Coffee Table|Split A.C's|TV|Mirror|Utensils (on request)|Gas Cylinder - Chargeable|Attached Bathroom,AC 1 BHK,Goa,e937f1f395656f529f269d6bc189a52f
"Plot No:2,Elcot Avenue,Rajiv Gandhi Road,(OMR),Near Sozhanganallur Signal, before aavin milk factory",Thuraipakkam,Chennai,India,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Most hotels do not allow unmarried / unrelated couples to check-in. This is at full discretion of the hotel management. No refund would be applicable in case the hotel denies check-in under such circumstances .,Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured,0,3,12.8944628,Thuraipakkam,80.2273584,HTLGBO1000016892,ARAVINDAR RESIDENCY,Hotel,Chennai,10 X 10 Sq.ft.,22,Air Conditioning |Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom| Hot / Cold Running Water|Housekeeping|Toiletries|TV|Mirror,Deluxe Room,Tamil Nadu,6c400590e2262416abddeccb148f439f
"Chitrasani Village, Off. Abu-Palanpur Highway No. 14, Banaskantha, Gujarat",Banaskantha,Chitrasani,India,regular,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly *Valid Identification Documents/ Proof are Mandatory. *In case of any unusual/ improper/ suspicious act, Hotel can cancel Room. *Unmarried and unrelated couples will not be allowed to check in due to security reason. *Customer has to carry a copy of booking voucher at the time of check in. *Check Inn and Check Out is 12:00 Noon. After that half day charges will be applicable. *Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel.  *Pets are not allowed.",Banquet Facilities|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|Doorman|Wake-up Call / Service|Car Rental|Guide / Sightseeing Service|Room Service,3,17,24.26778,Banaskantha,72.483507,HTLGBO1000059384,Balaram Palace Resort,Palace,Chitrasani,,21,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Toiletries|Safe - In - Room |Wardrobe|HD / LCD Satellite TV |Mirror|Dressing Area|Luggage Rack|Attached Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Extra Toilteries on Demand|Sufficient Lighting|Western Toilet Seat,Royal Tent,Gujarat,06fd2432c131b986e3dabef63869e0fe
"Village Savti, Dharampuri, P.O. Daulatpura, Distt. Khandar",Ranthambhore,Sawai Madhopur,India,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances.,Doctor on Call|24 Hour Front Desk|Room Service (24 Hours)|Room Service|CCTV,0,6,26.0065687,Ranthambhore,76.6037222,HTLGBO1000048022,Bhadrawati Safari Lodge,Lodge,Sawai Madhopur,,10,Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone|Newspapers,Luxury Room,Rajasthan,ea07c562f673b643f273ce04dfa9e893
"NT Mall Road, Dalhousie ,176304(HP)",The Mall,Dalhousie,India,regular,The standard check-in time is 01:00 PM and the standard check-out time is 11:30 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances Pets are not allowed. Valid Photo ID required for check-in,Doctor on Call|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Power Backup|Campfire / Bon Fire|Internet Access Free|Outdoor Parking - Secured|Room Service|First-Aid Kit at Front Desk|Public Restrooms|Speciality Restaurant |Suites,3,7,32.537371,The Mall,75.9824737,HTLGBO1000075636,AS Clarks inn,Hotel,Dalhousie,,10,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan|Telephone,Deluxe,Himachal Pradesh,091daef6f4cf8e8fc39bac2cf9342e79
"Mullassery Building, Near Pallathuruthy Bridge, AC Road, Alleppey, Kerala, 688003",Others,Alleppey,India,regular,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates  extra supplement will be charged over and above the paid rates as per actual and hotel discretion.",Doctor on Call,0,3,9.4980667,Others,76.3388484,HTLGBO1000064884,"Beautiful Alleppey Tours Two Bedroom, Alleppey",Houseboat,Alleppey,,2,,Deluxe Room,Kerala,78d6eb4657722af02cdbcabf1c579fb7
Sinhgad road pune,Pune Bangalore Highway,Pune,India,regular,The standard check-in time is 10:00 AM and the standard check-out time is 09:45 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Need ID proof at the time of check in Unmarried couples not allowed,Business Center |Parking Facilities Available|24 Hour Front Desk|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Suites,0,2,18.47885819,Pune Bangalore Highway,73.82231814,HTLGBO1000057350,Ashiyana,Homestay,Pune,,5,,Double Room,Maharashtra,67c5e17d1829882a2eea640f7863eebc
"Railway Station Rd,NEAR SHIVAJI STATUE,NANDED,MAHARASHTRA.",Railway Station Rd,Nanded,India,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly we do not allow Unmarried / unrelated Couples to check-in .This is at full discretion of the hotel management.No refund would be applicable in case the check-in denied under such circumstances. ID-proof mandatory to submit.,Business Center |Doctor on Call|Laundry Service Available|24 Hour Front Desk|Power Backup|Room Service|CCTV,0,4,19.1382514,Railway Station Rd,77.3209555,HTLGBO1000059830,ASHIRWAD LODGING,Hotel,Nanded,,10,,NON AC DELUXE,Maharashtra,435632e2bd4d3b81f2e2ad2420769fdf
"Dadanpatrabar, Mandarmani.",Beach Road,Mandarmani,India,regular,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Gardens|Room Service,0,6,21.66141333,Beach Road,87.69783314,HTLGBO1000011595,Aqua Marina Drive Inn,Resort,Mandarmani,,14,Air Conditioning |Cable / Satellite / Pay TV available|Attached Bathroom,Aqua Super Royal AC (1st &amp; 2nd Floor with Sea View),West Bengal,573304a6989158cd0bad4c755bbcd3b3
"Nagalore road  Opp petrol bunk,",Yercaud Main Town,Yercaud,India,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Early check in and late check out is subject to availability and extras will be charged on direct payable basis.  No pets allowed.,Business Center |Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Power Backup|Gardens|Room Service (24 Hours)|STD / ISD|Parking Facility,0,7,11.78877598,Yercaud Main Town,78.21110564,HTLGBO1000013799,Annai Illam Guest House,Guest House,Yercaud,14 X 14 Sq.ft.,2,Room Service |Telephone|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Breakfast Available|Toiletries|HD / LCD Satellite TV |Mirror|Attached Bathroom,Triple bed room,Tamil Nadu,10fc96c69463e641906a040122dbcee4
"Shuru, PO Prini, Manali",Village Prini,Manali,India,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Gardens|Picnic Area|Open Air Restaurant / Dining | Bike on Rent|Vegetarian Food / Jain Food Available|Taxi Services|Campfire / Bon Fire|Internet Access Free|Outdoor Parking - Secured|Restaurant|Room Service,0,14,32.21280111,Village Prini,77.19837426,HTLGBO1000089780,Bella Marina Villa,Hotel,Manali,,11,Room Service |Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom| Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Toiletries|TV|Mirror|Daily Room Cleaning|Dustbins,Deluxe Room,Himachal Pradesh,4f232fbf4f2b1c496d77e2a17ec470c9
"plot no 56, ghata village, gurgaon",Others,Gurgaon,India,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Doctor on Call|Parking Facilities Available|Power Backup|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk,0,4,28.4667564,Others,77.0930199,HTLGBO1000086812,ATOM Guest House,Guest House,Gurgaon,,5,Air Conditioning |Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room,Standard Room,Haryana,b8b562d0ae94028f7acd71d83bfcb2d4
